UIC;Gare enquêtée;Fréquence;POURCENTAGE;Année
611004.0;Toulouse Matabiau;1 ou plusieurs fois par mois;17.0;2014
611004.0;Toulouse Matabiau;Tous les jours de la semaine ou presque;27.0;2014
677005.0;Hendaye;1 ou plusieurs fois par mois;8.0;2016
677005.0;Hendaye;C'est la première fois;40.0;2016
723197.0;Lyon Part Dieu;1 ou plusieurs fois par mois;20.0;2011
723197.0;Lyon Part Dieu;C'est la première fois;7.0;2011
775007.0;Nîmes;1 ou plusieurs fois par mois;18.0;2014
141002.0;Nancy;Tous les jours de la semaine ou presque;46.0;2014
142109.0;Lorraine TGV;1 à 2 fois par semaine;12.0;2017
142109.0;Lorraine TGV;Tous les jours de la semaine ou presque;6.0;2017
271007.0;Paris Nord;Moins d'1 fois par mois;17.0;2012
393702.0;Massy TGV;;0.0;2013
481002.0;Nantes;Tous les jours de la semaine ou presque;24.0;2014
571000.0;Tours;Moins d'1 fois par mois;19.0;2016
673400.0;Biarritz;Tous les jours de la semaine ou presque;17.0;2016
747006.0;Grenoble;C'est la première fois;5.0;2015
751008.0;Marseille Saint-Charles;Tous les jours de la semaine ou presque;35.0;2013
763029.0;Valence TGV Rhône-Alpes Sud;1 à 2 fois par semaine;14.0;2015
113001.0;Paris Est;;2.0;2012
113001.0;Paris Est;1 à 2 fois par semaine;8.0;2012
212027.0;Strasbourg;1 à 2 fois par semaine;11.0;2016
271494.0;Aéroport Charles de Gaulle 2 TGV;Tous les jours de la semaine ou presque;1.0;2013
300822.0;Belfort Montbéliard TGV;1 à 2 fois par semaine;13.0;2015
300863.0;Besançon Franche-Comté TGV;C'est la première fois;11.0;2015
411017.0;Rouen Rive Droite;1 à 2 fois par semaine;14.0;2014
471003.0;Rennes;1 à 2 fois par semaine;16.0;2014
478404.0;Laval;Tous les jours de la semaine ou presque;30.0;2011
547000.0;Paris Austerlitz;1 ou plusieurs fois par mois;16.0;2013
583005.0;Angoulême;Moins d'1 fois par mois;27.0;2012
775007.0;Nîmes;Tous les jours de la semaine ou presque;36.0;2014
686667.0;Paris Bercy;Tous les jours de la semaine ou presque;34.0;2012
141002.0;Nancy;C'est la première fois;5.0;2014
192039.0;Metz;1 à 2 fois par semaine;14.0;2016
212027.0;Strasbourg;Moins d'1 fois par mois;16.0;2016
313874.0;Amiens;1 à 2 fois par semaine;15.0;2015
396002.0;Le Mans;C'est la première fois;8.0;2015
396002.0;Le Mans;Moins d'1 fois par mois;22.0;2015
547000.0;Paris Austerlitz;Moins d'1 fois par mois;38.0;2013
575001.0;Poitiers;1 ou plusieurs fois par mois;24.0;2015
611004.0;Toulouse Matabiau;1 à 2 fois par semaine;19.0;2014
673400.0;Biarritz;C'est la première fois;34.0;2016
713040.0;Dijon;1 à 2 fois par semaine;19.0;2015
722025.0;Lyon Perrache;C'est la première fois;4.0;2011
756056.0;Nice;C'est la première fois;4.0;2014
757625.0;Cannes;1 à 2 fois par semaine;11.0;2015
171009.0;Reims;1 ou plusieurs fois par mois;15.0;2016
223263.0;Lille Europe;C'est la première fois;19.0;2013
271007.0;Paris Nord;1 à 2 fois par semaine;12.0;2012
313874.0;Amiens;Moins d'1 fois par mois;9.0;2015
