UIC;Gare enquêtée;Classe distance gare gare;POURCENTAGE;Année
471003.0;Rennes;100 à 150 km;6.0;2014
484006.0;Angers Saint Laud;25 à 50 km;14.0;2015
471003.0;Rennes;50 à 75 km;11.0;2014
481002.0;Nantes;Moins de 25 km;8.0;2014
118000.0;Troyes;100 à 150 km;61.0;2015
481002.0;Nantes;100 à 150 km;5.0;2014
182014.0;Colmar;100 à 150 km;1.0;2017
478404.0;Laval;100 à 150 km;1.0;2011
757625.0;Cannes;Moins de 25 km;40.0;2015
171009.0;Reims;150 à 200 km;4.0;2016
411017.0;Rouen Rive Droite;Moins de 25 km;21.0;2014
319012.0;Aix en Provence-TGV;Moins de 25 km;2.0;2015
444877.0;Cherbourg;250 à 300 km;39.0;2015
444000.0;Caen;75 à 100 km;9.0;2012
476002.0;Lorient;150 à 200 km;0.0;2010
444000.0;Caen;25 à 50 km;21.0;2012
444000.0;Caen;250 à 300 km;1.0;2012
611004.0;Toulouse Matabiau;400 à 500 km;3.0;2014
581009.0;Bordeaux Saint-Jean;25 à 50 km;13.0;2014
611004.0;Toulouse Matabiau;75 à 100 km;11.0;2014
583005.0;Angoulême;100 à 150 km;35.0;2012
611004.0;Toulouse Matabiau;50 à 75 km;16.0;2014
571000.0;Tours;150 à 200 km;3.0;2016
713040.0;Dijon;Plus de 500 km;1.0;2015
571000.0;Tours;300 à 400 km;2.0;2016
677005.0;Hendaye;75 à 100 km;1.0;2016
747006.0;Grenoble;50 à 75 km;15.0;2015
751008.0;Marseille Saint-Charles;Moins de 25 km;23.0;2013
755009.0;Toulon;50 à 75 km;9.0;2014
751008.0;Marseille Saint-Charles;300 à 400 km;5.0;2013
300822.0;Belfort Montbéliard TGV;75 à 100 km;1.0;2015
747006.0;Grenoble;Moins de 25 km;21.0;2015
313874.0;Amiens;200 à 250 km;0.0;2015
300822.0;Belfort Montbéliard TGV;250 à 300 km;13.0;2015
723197.0;Lyon Part Dieu;250 à 300 km;10.0;2011
318964.0;Avignon TGV;25 à 50 km;1.0;2015
723197.0;Lyon Part Dieu;25 à 50 km;14.0;2011
575001.0;Poitiers;Moins de 25 km;4.0;2015
677005.0;Hendaye;Plus de 500 km;29.0;2016
581009.0;Bordeaux Saint-Jean;400 à 500 km;25.0;2014
182014.0;Colmar;75 à 100 km;1.0;2017
581009.0;Bordeaux Saint-Jean;250 à 300 km;3.0;2014
192039.0;Metz;50 à 75 km;8.0;2016
581009.0;Bordeaux Saint-Jean;50 à 75 km;7.0;2014
583005.0;Angoulême;300 à 400 km;26.0;2012
141002.0;Nancy;300 à 400 km;3.0;2014
